measurement,count,max,mean,median,min,p50,p75,p95,p99
fido2_login_start,20,1.7487360000814078,1.319852850008374,1.346420999880138,0.9892510001918708,1.346420999880138,1.5351550000559655,1.7487360000814078,1.7487360000814078
fido2_login_start_cpu_ms,20,1.6792820000000042,1.25574890000002,1.2799700000001302,0.9477730000000406,1.2799700000001302,1.4747670000001545,1.6792820000000042,1.6792820000000042
fido2_login_start_db_queries,20,8.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0
fido2_login_start_db_time_ms,20,0.16083600030469825,0.10605949994442199,0.10124099935637787,0.06443500046771078,0.10124099935637787,0.1336209998044069,0.16083600030469825,0.16083600030469825
fido2_login_start_memory_mb,20,0.01171875,0.004296875,0.00390625,0.0,0.00390625,0.0078125,0.01171875,0.01171875
fido2_register_finish,10,2.8732969999509805,1.9329870999854393,1.7943939999440772,1.5921849999358528,1.7943939999440772,2.0031070000641193,2.8732969999509805,2.8732969999509805
fido2_register_finish_cpu_ms,10,2.723401999999986,1.8367690999999908,1.6802120000000142,1.5122499999999928,1.6802120000000142,1.9230009999999798,2.723401999999986,2.723401999999986
fido2_register_finish_db_queries,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido2_register_finish_db_time_ms,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido2_register_finish_memory_mb,10,0.04296875,0.0109375,0.0078125,0.0,0.0078125,0.01171875,0.04296875,0.04296875
fido2_register_start,10,17.13886199991066,5.1234831000328995,3.6973409999063733,3.0521910000516073,3.6973409999063733,3.994232999957603,17.13886199991066,17.13886199991066
fido2_register_start_cpu_ms,10,16.847986999999897,4.964542699999996,3.5846149999999577,2.979559999999992,3.5846149999999577,3.855461999999976,16.847986999999897,16.847986999999897
fido2_register_start_db_queries,10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
fido2_register_start_db_time_ms,10,0.2933319999556261,0.13087039997117245,0.11444099982327316,0.08199600006264518,0.11444099982327316,0.13538899997911358,0.2933319999556261,0.2933319999556261
fido2_register_start_memory_mb,10,0.6171875,0.066796875,0.0078125,0.0,0.0078125,0.0078125,0.6171875,0.6171875
fido2_registration_finish,10,2.0441490000848717,1.844815200024641,1.7934239999704005,1.6838549997828522,1.7934239999704005,1.993670000047132,2.0441490000848717,2.0441490000848717
fido2_registration_finish_cpu_ms,10,1.9403350000000152,1.721245299999996,1.6735689999998193,1.573674999999941,1.6735689999998193,1.8789340000000543,1.9403350000000152,1.9403350000000152
fido2_registration_finish_db_queries,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido2_registration_finish_db_time_ms,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido2_registration_finish_memory_mb,10,0.015625,0.00703125,0.0078125,0.0,0.0078125,0.0078125,0.015625,0.015625
fido2_registration_start,10,6.3329800000246905,3.713938199939548,3.538560999913898,2.9508559998703277,3.538560999913898,3.7921059999916906,6.3329800000246905,6.3329800000246905
fido2_registration_start_cpu_ms,10,6.1321909999998425,3.6022982000000203,3.431002999999988,2.8807710000000597,3.431002999999988,3.6900170000000454,6.1321909999998425,6.1321909999998425
fido2_registration_start_db_queries,10,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
fido2_registration_start_db_time_ms,10,0.450427000032505,0.2090445999556323,0.19595799972194072,0.1426469996204105,0.19595799972194072,0.2047089997176954,0.450427000032505,0.450427000032505
fido2_registration_start_memory_mb,10,0.0703125,0.012890625,0.00390625,0.0,0.00390625,0.0078125,0.0703125,0.0703125
fido2_registration_total,10,8.126403999995091,5.558753399964189,5.49902300008398,4.94452599991746,5.49902300008398,5.645362999985082,8.126403999995091,8.126403999995091
fido2_registration_total_cpu_ms,10,7.805759999999662,5.323543500000016,5.287567000000104,4.727676000000125,5.287567000000104,5.40920899999997,7.805759999999662,7.805759999999662
fido2_registration_total_db_queries,10,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
fido2_registration_total_db_time_ms,10,0.450427000032505,0.2090445999556323,0.19595799972194072,0.1426469996204105,0.19595799972194072,0.2047089997176954,0.450427000032505,0.450427000032505
fido2_registration_total_memory_mb,10,0.0859375,0.019921875,0.0078125,0.00390625,0.0078125,0.01171875,0.0859375,0.0859375
password_login_endpoint,10,221.138061000147,218.45450040000287,219.00578600002518,215.2404819998992,219.00578600002518,219.75243099996078,221.138061000147,221.138061000147
password_login_endpoint_cpu_ms,10,219.32770000000002,216.80301520000003,217.08406800000012,214.22278699999976,217.08406800000012,217.39697000000024,219.32770000000002,219.32770000000002
password_login_endpoint_db_queries,10,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
password_login_endpoint_db_time_ms,10,2.477444000533069,1.9796854998276103,1.9266469964804855,1.7542000000503322,1.9266469964804855,1.9971490007719694,2.477444000533069,2.477444000533069
password_login_endpoint_memory_mb,10,0.06640625,0.012890625,0.0078125,0.0,0.0078125,0.015625,0.06640625,0.06640625
password_login_total,10,230.47225599998455,220.37873840001794,220.14180600012878,216.6325919999963,220.14180600012878,221.2052350000704,230.47225599998455,230.47225599998455
password_login_total_cpu_ms,10,225.19028200000025,217.96041929999993,217.93948200000023,214.04515899999944,217.93948200000023,218.55881300000001,225.19028200000025,225.19028200000025
password_login_total_db_queries,10,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
password_login_total_db_time_ms,10,3.4618860026967013,2.011199800426766,1.8578159988464904,1.6154830004779797,1.8578159988464904,2.0777800007181213,3.4618860026967013,3.4618860026967013
password_login_total_memory_mb,10,0.0859375,0.01015625,0.0,0.0,0.0,0.0,0.0859375,0.0859375
password_registration_total,10,223.76548199986246,221.1852823999834,221.10970199992153,219.17050399997606,221.10970199992153,222.57687499995882,223.76548199986246,223.76548199986246
password_registration_total_cpu_ms,10,221.99088499999985,219.08701820000002,218.61582999999985,217.29806500000004,218.61582999999985,219.97855200000015,221.99088499999985,221.99088499999985
password_registration_total_db_queries,10,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
password_registration_total_db_time_ms,10,1.5268299994204426,0.8546912998326661,0.7437369995386689,0.605024999458692,0.7437369995386689,0.9694420002688275,1.5268299994204426,1.5268299994204426
password_registration_total_memory_mb,10,0.0546875,0.00703125,0.0,0.0,0.0,0.00390625,0.0546875,0.0546875
totp_login_endpoint,10,218.23123300009684,213.91547909997826,213.42134399992574,210.993808000012,213.42134399992574,213.8860749998912,218.23123300009684,218.23123300009684
totp_login_endpoint_cpu_ms,10,217.18649200000328,213.07525700000036,212.5466280000001,210.3790580000009,212.5466280000001,213.22266600000006,217.18649200000328,217.18649200000328
totp_login_endpoint_db_queries,10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
totp_login_endpoint_db_time_ms,10,2.3374759982743853,2.05700329956926,2.141174000371393,1.8084629994064017,2.141174000371393,2.2258660003444675,2.3374759982743853,2.3374759982743853
totp_login_endpoint_memory_mb,10,0.0546875,0.00859375,0.00390625,0.0,0.00390625,0.00390625,0.0546875,0.0546875
totp_login_total,10,215.75405499993394,213.61350109998511,214.34137999995073,208.24878500002342,214.34137999995073,215.3618899999401,215.75405499993394,215.75405499993394
totp_login_total_cpu_ms,10,214.92703999999918,212.80843629999995,213.43884800000092,207.63482799999977,213.43884800000092,214.4945060000012,214.92703999999918,214.92703999999918
totp_login_total_db_queries,10,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
totp_login_total_db_time_ms,10,2.481794001369053,1.917640799979381,1.8901429998550157,1.4983669998400728,1.8901429998550157,2.0349379997242067,2.481794001369053,2.481794001369053
totp_login_total_memory_mb,10,0.04296875,0.004296875,0.0,0.0,0.0,0.0,0.04296875,0.04296875
totp_setup_total,10,239.14732100001856,224.71022039997024,224.96074899981977,220.07336999990912,224.96074899981977,225.9249619999082,239.14732100001856,239.14732100001856
totp_setup_total_cpu_ms,10,236.1101759999986,223.5130119999999,223.84203700000072,219.3825379999996,223.84203700000072,224.27306099999987,236.1101759999986,236.1101759999986
totp_setup_total_db_queries,10,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
totp_setup_total_db_time_ms,10,3.708560000632133,2.3097599999800877,2.1337019975362637,1.9630960025551758,2.1337019975362637,2.3606890010796633,3.708560000632133,3.708560000632133
